Time,sensorLL,sensorCL,sensorCR,sensorRR,motorL,motorR
4387.0,35.0,49.0,35.0,32.0,30.0,90.0
4428.0,33.0,44.0,41.0,33.0,100.0,10.0
4469.0,34.0,39.0,161.0,32.0,100.0,0.0
4511.0,34.0,38.0,129.0,33.0,90.0,30.0
4553.0,33.0,42.0,43.0,32.0,10.0,100.0
4594.0,34.0,44.0,41.0,32.0,60.0,60.0
4635.0,33.0,38.0,60.0,32.0,100.0,0.0
4676.0,34.0,34.0,111.0,32.0,90.0,30.0
4717.0,34.0,36.0,168.0,33.0,90.0,30.0
4759.0,33.0,35.0,142.0,32.0,90.0,30.0
4800.0,33.0,34.0,166.0,33.0,90.0,30.0
4842.0,34.0,34.0,134.0,33.0,90.0,30.0
4884.0,34.0,33.0,163.0,34.0,90.0,30.0
4925.0,34.0,32.0,141.0,37.0,90.0,30.0
4967.0,34.0,32.0,67.0,277.0,100.0,0.0
5009.0,33.0,31.0,39.0,264.0,100.0,0.0
5050.0,33.0,31.0,38.0,176.0,100.0,0.0
5092.0,32.0,31.0,52.0,39.0,0.0,100.0
5132.0,34.0,33.0,79.0,32.0,90.0,30.0
5173.0,33.0,38.0,53.0,32.0,90.0,30.0
5214.0,38.0,45.0,33.0,32.0,0.0,100.0
5254.0,49.0,32.0,33.0,32.0,0.0,100.0
5295.0,34.0,31.0,33.0,31.0,0.0,100.0
5335.0,34.0,32.0,33.0,32.0,0.0,100.0
5376.0,33.0,32.0,33.0,32.0,0.0,100.0
5417.0,33.0,32.0,33.0,32.0,0.0,100.0
5457.0,33.0,31.0,33.0,32.0,0.0,100.0
5497.0,33.0,32.0,33.0,32.0,0.0,100.0
5537.0,33.0,31.0,33.0,33.0,0.0,100.0
5578.0,33.0,32.0,33.0,32.0,0.0,100.0
5619.0,33.0,32.0,33.0,32.0,0.0,100.0
5659.0,32.0,32.0,33.0,31.0,0.0,100.0
5700.0,33.0,31.0,33.0,31.0,0.0,100.0
5741.0,34.0,32.0,33.0,32.0,0.0,100.0
5781.0,46.0,32.0,32.0,32.0,0.0,100.0
5822.0,59.0,32.0,34.0,32.0,0.0,100.0
5862.0,35.0,48.0,34.0,32.0,100.0,0.0
5903.0,34.0,43.0,75.0,33.0,100.0,10.0
5945.0,33.0,34.0,178.0,33.0,100.0,0.0
5986.0,33.0,33.0,146.0,36.0,90.0,30.0
6028.0,33.0,32.0,140.0,38.0,90.0,30.0
6069.0,33.0,32.0,91.0,45.0,100.0,0.0
6110.0,34.0,32.0,48.0,120.0,100.0,0.0
6152.0,34.0,32.0,50.0,43.0,100.0,0.0
6192.0,33.0,32.0,109.0,34.0,41.0,79.0
6234.0,33.0,34.0,132.0,32.0,90.0,30.0
6276.0,33.0,39.0,58.0,32.0,90.0,30.0
6316.0,34.0,48.0,35.0,31.0,0.0,100.0
6357.0,42.0,45.0,34.0,32.0,0.0,100.0
6397.0,52.0,40.0,33.0,32.0,0.0,100.0
6438.0,51.0,37.0,32.0,32.0,0.0,100.0
6478.0,47.0,41.0,34.0,32.0,50.0,70.0
6518.0,48.0,40.0,34.0,32.0,0.0,100.0
6559.0,58.0,37.0,34.0,31.0,0.0,100.0
6599.0,53.0,35.0,33.0,32.0,0.0,100.0
6640.0,46.0,39.0,34.0,32.0,0.0,100.0
6681.0,36.0,44.0,33.0,32.0,100.0,0.0
6721.0,34.0,46.0,34.0,32.0,30.0,90.0
6762.0,34.0,44.0,34.0,31.0,30.0,90.0
6802.0,33.0,45.0,35.0,32.0,30.0,90.0
6843.0,33.0,44.0,40.0,32.0,30.0,90.0
6884.0,33.0,33.0,117.0,32.0,100.0,0.0
6925.0,33.0,32.0,81.0,37.0,90.0,30.0
6966.0,33.0,32.0,47.0,43.0,100.0,0.0
7007.0,34.0,32.0,49.0,44.0,100.0,0.0
7047.0,33.0,32.0,68.0,35.0,41.0,79.0
7088.0,33.0,32.0,116.0,34.0,90.0,30.0
7129.0,33.0,32.0,84.0,33.0,90.0,30.0
7170.0,34.0,32.0,70.0,33.0,90.0,30.0
7211.0,33.0,34.0,134.0,32.0,90.0,30.0
7252.0,34.0,37.0,98.0,31.0,90.0,30.0
7293.0,34.0,45.0,40.0,32.0,0.0,100.0
7332.0,34.0,46.0,38.0,32.0,30.0,90.0
7373.0,34.0,40.0,93.0,32.0,100.0,0.0
7414.0,33.0,33.0,122.0,33.0,90.0,30.0
7455.0,33.0,32.0,69.0,32.0,90.0,30.0
7496.0,33.0,31.0,135.0,33.0,90.0,30.0
7538.0,32.0,32.0,155.0,32.0,90.0,30.0
7579.0,34.0,33.0,150.0,33.0,90.0,30.0
7621.0,34.0,33.0,191.0,34.0,90.0,30.0
7662.0,33.0,33.0,61.0,61.0,100.0,0.0
7703.0,33.0,32.0,65.0,237.0,100.0,0.0
7745.0,33.0,32.0,43.0,275.0,100.0,0.0
7786.0,33.0,32.0,42.0,275.0,100.0,0.0
7828.0,33.0,31.0,53.0,240.0,100.0,0.0
7870.0,33.0,32.0,38.0,210.0,100.0,0.0
7911.0,33.0,31.0,44.0,184.0,70.0,50.0
7953.0,33.0,32.0,92.0,34.0,41.0,79.0
7993.0,33.0,33.0,116.0,32.0,90.0,30.0
8035.0,34.0,34.0,129.0,32.0,90.0,30.0
8077.0,34.0,45.0,39.0,32.0,0.0,100.0
8117.0,35.0,48.0,33.0,33.0,30.0,90.0
8158.0,45.0,42.0,33.0,32.0,0.0,100.0
8198.0,210.0,36.0,33.0,32.0,0.0,100.0
8240.0,81.0,34.0,34.0,33.0,0.0,100.0
8281.0,95.0,33.0,33.0,32.0,0.0,100.0
8321.0,52.0,32.0,33.0,32.0,0.0,100.0
8362.0,50.0,33.0,33.0,32.0,0.0,100.0
8403.0,41.0,32.0,33.0,32.0,0.0,100.0
8442.0,36.0,32.0,33.0,32.0,0.0,100.0
8483.0,34.0,32.0,33.0,31.0,0.0,100.0
8523.0,34.0,31.0,33.0,31.0,0.0,100.0
8564.0,33.0,32.0,33.0,32.0,0.0,100.0
8605.0,34.0,32.0,34.0,32.0,0.0,100.0
8645.0,34.0,32.0,33.0,32.0,0.0,100.0
8686.0,36.0,32.0,33.0,32.0,0.0,100.0
8726.0,47.0,32.0,33.0,32.0,0.0,100.0
8767.0,51.0,32.0,33.0,32.0,0.0,100.0
8808.0,35.0,45.0,33.0,32.0,100.0,0.0
8848.0,33.0,44.0,46.0,32.0,100.0,10.0
8890.0,33.0,34.0,148.0,32.0,100.0,0.0
8931.0,33.0,33.0,126.0,32.0,90.0,30.0
8973.0,33.0,34.0,140.0,32.0,90.0,30.0
9015.0,34.0,35.0,124.0,32.0,90.0,30.0
9056.0,34.0,41.0,46.0,32.0,10.0,100.0
9098.0,32.0,45.0,34.0,32.0,0.0,100.0
9139.0,34.0,46.0,34.0,31.0,30.0,90.0
9179.0,34.0,45.0,34.0,32.0,30.0,90.0
9220.0,36.0,46.0,33.0,32.0,30.0,90.0
9260.0,64.0,44.0,34.0,32.0,0.0,100.0
9301.0,210.0,36.0,34.0,32.0,0.0,100.0
9343.0,56.0,33.0,33.0,32.0,0.0,100.0
9383.0,50.0,33.0,33.0,31.0,0.0,100.0
9423.0,55.0,35.0,34.0,32.0,0.0,100.0
9463.0,36.0,43.0,34.0,32.0,100.0,0.0
9504.0,33.0,49.0,46.0,33.0,100.0,10.0
9546.0,34.0,36.0,191.0,44.0,100.0,0.0
9587.0,34.0,33.0,126.0,391.0,100.0,0.0
9630.0,34.0,32.0,40.0,385.0,100.0,0.0
9672.0,35.0,32.0,34.0,43.0,100.0,0.0
9712.0,33.0,32.0,33.0,34.0,100.0,0.0
9753.0,33.0,31.0,32.0,32.0,100.0,0.0
9793.0,33.0,31.0,32.0,32.0,100.0,0.0
9834.0,33.0,32.0,33.0,32.0,100.0,0.0
9875.0,33.0,31.0,33.0,32.0,100.0,0.0
9915.0,32.0,31.0,33.0,37.0,100.0,0.0
9956.0,33.0,32.0,33.0,149.0,100.0,0.0
9997.0,33.0,31.0,39.0,139.0,100.0,0.0
10039.0,33.0,32.0,103.0,31.0,0.0,100.0
10082.0,33.0,46.0,35.0,32.0,0.0,100.0
10123.0,42.0,44.0,33.0,32.0,0.0,100.0
10165.0,59.0,37.0,33.0,31.0,0.0,100.0
10207.0,54.0,37.0,33.0,32.0,0.0,100.0
10248.0,52.0,38.0,32.0,32.0,0.0,100.0
10290.0,43.0,41.0,33.0,32.0,50.0,70.0
10332.0,41.0,44.0,33.0,32.0,0.0,100.0
10373.0,41.0,41.0,33.0,31.0,0.0,100.0
10415.0,38.0,43.0,34.0,32.0,79.0,41.0
10456.0,36.0,46.0,34.0,32.0,30.0,90.0
10498.0,34.0,46.0,34.0,32.0,30.0,90.0
10540.0,33.0,45.0,33.0,32.0,30.0,90.0
10581.0,33.0,42.0,41.0,32.0,100.0,10.0
10624.0,34.0,34.0,130.0,32.0,100.0,0.0
10667.0,33.0,32.0,142.0,32.0,90.0,30.0
10709.0,33.0,32.0,88.0,33.0,90.0,30.0
10751.0,33.0,33.0,118.0,32.0,90.0,30.0
10793.0,34.0,34.0,140.0,32.0,90.0,30.0
10836.0,33.0,49.0,203.0,32.0,10.0,100.0
10880.0,33.0,45.0,39.0,31.0,0.0,100.0
10921.0,33.0,44.0,41.0,32.0,100.0,10.0
10964.0,33.0,40.0,56.0,31.0,100.0,0.0
11006.0,34.0,45.0,39.0,32.0,0.0,100.0
11047.0,34.0,45.0,35.0,32.0,30.0,90.0
11089.0,34.0,46.0,35.0,32.0,30.0,90.0
11130.0,34.0,46.0,35.0,33.0,30.0,90.0
11171.0,34.0,46.0,35.0,31.0,30.0,90.0
11213.0,35.0,46.0,33.0,32.0,30.0,90.0
11254.0,41.0,44.0,32.0,31.0,0.0,100.0
11296.0,54.0,37.0,33.0,31.0,0.0,100.0
11338.0,54.0,36.0,33.0,32.0,0.0,100.0
11379.0,51.0,33.0,33.0,32.0,0.0,100.0
11421.0,50.0,32.0,33.0,33.0,0.0,100.0
11463.0,49.0,32.0,33.0,32.0,0.0,100.0
11504.0,41.0,32.0,33.0,31.0,0.0,100.0
11546.0,37.0,31.0,33.0,32.0,0.0,100.0
11587.0,35.0,31.0,33.0,32.0,0.0,100.0
11629.0,35.0,32.0,33.0,32.0,0.0,100.0
11671.0,37.0,32.0,33.0,32.0,0.0,100.0
11712.0,40.0,32.0,33.0,33.0,0.0,100.0
11754.0,46.0,32.0,33.0,32.0,0.0,100.0
11796.0,53.0,32.0,33.0,32.0,0.0,100.0
11837.0,58.0,37.0,33.0,32.0,0.0,100.0
11879.0,34.0,45.0,34.0,32.0,100.0,0.0
11920.0,33.0,35.0,128.0,34.0,100.0,0.0
11963.0,33.0,32.0,107.0,35.0,90.0,30.0
12006.0,34.0,32.0,73.0,41.0,100.0,0.0
12047.0,34.0,32.0,78.0,51.0,100.0,0.0
12089.0,34.0,32.0,80.0,42.0,100.0,0.0
12131.0,34.0,32.0,98.0,34.0,41.0,79.0
12172.0,34.0,33.0,90.0,33.0,90.0,30.0
12214.0,34.0,33.0,106.0,32.0,90.0,30.0
