Time,sensorLL,sensorCL,sensorCR,sensorRR,motorL,motorR
4396.0,34.0,45.0,35.0,32.0,30.0,90.0
4437.0,34.0,47.0,35.0,32.0,30.0,90.0
4477.0,34.0,47.0,35.0,32.0,30.0,90.0
4518.0,34.0,47.0,34.0,32.0,30.0,90.0
4559.0,34.0,47.0,34.0,32.0,30.0,90.0
4599.0,34.0,48.0,35.0,33.0,30.0,90.0
4640.0,34.0,47.0,36.0,32.0,30.0,90.0
4681.0,34.0,43.0,43.0,32.0,100.0,10.0
4722.0,33.0,36.0,141.0,32.0,100.0,0.0
4764.0,34.0,36.0,110.0,32.0,90.0,30.0
4805.0,33.0,42.0,43.0,32.0,10.0,100.0
4847.0,33.0,44.0,39.0,32.0,0.0,100.0
4888.0,34.0,40.0,107.0,32.0,100.0,0.0
4929.0,33.0,32.0,121.0,34.0,90.0,30.0
4971.0,33.0,31.0,129.0,37.0,90.0,30.0
5013.0,33.0,31.0,57.0,58.0,100.0,0.0
5053.0,33.0,32.0,48.0,250.0,100.0,0.0
5095.0,33.0,32.0,43.0,192.0,100.0,0.0
5136.0,33.0,32.0,41.0,211.0,100.0,0.0
5178.0,33.0,31.0,40.0,273.0,100.0,0.0
5220.0,33.0,31.0,40.0,251.0,100.0,0.0
5261.0,33.0,31.0,42.0,208.0,70.0,50.0
5303.0,33.0,31.0,53.0,42.0,100.0,0.0
5343.0,33.0,32.0,88.0,33.0,41.0,79.0
5383.0,33.0,34.0,119.0,33.0,90.0,30.0
5425.0,33.0,42.0,41.0,32.0,10.0,100.0
5466.0,47.0,46.0,34.0,32.0,0.0,100.0
5507.0,48.0,33.0,33.0,31.0,0.0,100.0
5548.0,49.0,32.0,33.0,32.0,0.0,100.0
5588.0,49.0,32.0,34.0,32.0,0.0,100.0
5629.0,47.0,31.0,33.0,32.0,0.0,100.0
5669.0,49.0,33.0,33.0,32.0,0.0,100.0
5710.0,53.0,32.0,33.0,32.0,0.0,100.0
5751.0,54.0,37.0,33.0,32.0,0.0,100.0
5791.0,40.0,43.0,33.0,32.0,100.0,0.0
5832.0,36.0,45.0,34.0,32.0,30.0,90.0
5872.0,43.0,43.0,34.0,32.0,0.0,100.0
5913.0,46.0,41.0,33.0,33.0,0.0,100.0
5954.0,41.0,44.0,34.0,32.0,0.0,100.0
5994.0,35.0,47.0,33.0,32.0,79.0,41.0
6035.0,34.0,49.0,35.0,32.0,30.0,90.0
6075.0,34.0,47.0,35.0,33.0,30.0,90.0
6116.0,34.0,45.0,38.0,32.0,30.0,90.0
6157.0,33.0,36.0,131.0,32.0,100.0,0.0
6198.0,34.0,33.0,98.0,33.0,90.0,30.0
6239.0,34.0,33.0,119.0,34.0,90.0,30.0
6281.0,33.0,33.0,113.0,32.0,90.0,30.0
6321.0,33.0,32.0,114.0,32.0,90.0,30.0
6363.0,33.0,33.0,114.0,32.0,90.0,30.0
6404.0,33.0,40.0,50.0,31.0,90.0,30.0
6445.0,34.0,46.0,34.0,32.0,0.0,100.0
6486.0,49.0,39.0,34.0,32.0,0.0,100.0
6526.0,53.0,35.0,34.0,32.0,0.0,100.0
6567.0,55.0,33.0,33.0,32.0,0.0,100.0
6607.0,62.0,34.0,33.0,32.0,0.0,100.0
6648.0,55.0,37.0,34.0,32.0,0.0,100.0
6689.0,44.0,41.0,34.0,32.0,50.0,70.0
6729.0,38.0,44.0,33.0,31.0,79.0,41.0
6770.0,37.0,44.0,33.0,31.0,30.0,90.0
6811.0,41.0,41.0,33.0,32.0,0.0,100.0
6851.0,41.0,43.0,34.0,33.0,0.0,100.0
6892.0,35.0,47.0,33.0,31.0,79.0,41.0
6932.0,34.0,47.0,35.0,32.0,30.0,90.0
6973.0,34.0,46.0,35.0,32.0,30.0,90.0
7014.0,34.0,43.0,46.0,33.0,100.0,10.0
7055.0,34.0,38.0,149.0,33.0,100.0,0.0
7097.0,33.0,39.0,123.0,33.0,90.0,30.0
7138.0,34.0,46.0,37.0,32.0,0.0,100.0
7179.0,35.0,46.0,34.0,32.0,30.0,90.0
7220.0,34.0,46.0,35.0,33.0,30.0,90.0
7259.0,34.0,45.0,40.0,31.0,30.0,90.0
7300.0,34.0,37.0,86.0,32.0,100.0,0.0
7341.0,33.0,32.0,101.0,33.0,90.0,30.0
7382.0,34.0,33.0,124.0,33.0,90.0,30.0
7424.0,33.0,32.0,104.0,33.0,90.0,30.0
7465.0,33.0,32.0,115.0,33.0,90.0,30.0
7507.0,33.0,32.0,105.0,35.0,90.0,30.0
7549.0,32.0,32.0,80.0,42.0,100.0,0.0
7589.0,33.0,32.0,52.0,113.0,100.0,0.0
7631.0,33.0,32.0,47.0,225.0,100.0,0.0
7672.0,33.0,31.0,48.0,47.0,100.0,0.0
7713.0,34.0,32.0,56.0,36.0,41.0,79.0
7754.0,32.0,32.0,71.0,32.0,90.0,30.0
7794.0,33.0,32.0,47.0,33.0,90.0,30.0
7835.0,33.0,32.0,58.0,38.0,90.0,30.0
7876.0,33.0,32.0,92.0,148.0,100.0,0.0
7917.0,33.0,32.0,39.0,262.0,100.0,0.0
7959.0,33.0,32.0,34.0,247.0,100.0,0.0
8000.0,33.0,32.0,34.0,216.0,100.0,0.0
8042.0,33.0,32.0,33.0,34.0,100.0,0.0
8083.0,33.0,32.0,33.0,32.0,100.0,0.0
8123.0,33.0,32.0,33.0,32.0,100.0,0.0
8164.0,32.0,31.0,32.0,33.0,100.0,0.0
8204.0,33.0,31.0,33.0,32.0,100.0,0.0
8245.0,33.0,32.0,33.0,36.0,100.0,0.0
8285.0,33.0,32.0,34.0,194.0,100.0,0.0
8326.0,33.0,32.0,45.0,39.0,0.0,100.0
8367.0,33.0,34.0,153.0,32.0,90.0,30.0
8409.0,34.0,46.0,44.0,33.0,10.0,100.0
8450.0,42.0,49.0,34.0,32.0,0.0,100.0
8491.0,105.0,39.0,33.0,32.0,0.0,100.0
8532.0,59.0,33.0,33.0,32.0,0.0,100.0
8573.0,44.0,31.0,33.0,32.0,0.0,100.0
8614.0,37.0,32.0,33.0,32.0,0.0,100.0
8654.0,34.0,32.0,32.0,32.0,0.0,100.0
8695.0,33.0,32.0,33.0,32.0,0.0,100.0
8735.0,32.0,32.0,33.0,32.0,0.0,100.0
8776.0,33.0,32.0,33.0,32.0,0.0,100.0
8817.0,34.0,32.0,33.0,32.0,0.0,100.0
8857.0,33.0,32.0,33.0,32.0,0.0,100.0
8898.0,33.0,31.0,33.0,32.0,0.0,100.0
8939.0,33.0,32.0,33.0,33.0,0.0,100.0
8979.0,33.0,32.0,32.0,31.0,0.0,100.0
9020.0,33.0,31.0,32.0,32.0,0.0,100.0
9060.0,34.0,32.0,33.0,31.0,0.0,100.0
9101.0,34.0,32.0,32.0,32.0,0.0,100.0
9142.0,38.0,31.0,33.0,32.0,0.0,100.0
9181.0,52.0,32.0,33.0,31.0,0.0,100.0
9222.0,41.0,45.0,33.0,33.0,50.0,70.0
9262.0,34.0,46.0,42.0,32.0,100.0,0.0
9303.0,33.0,33.0,143.0,34.0,100.0,0.0
9345.0,34.0,32.0,96.0,48.0,100.0,0.0
9385.0,33.0,32.0,58.0,42.0,100.0,0.0
9426.0,34.0,30.0,61.0,34.0,41.0,79.0
9466.0,32.0,33.0,100.0,33.0,90.0,30.0
9508.0,33.0,35.0,97.0,32.0,90.0,30.0
9549.0,34.0,46.0,35.0,32.0,0.0,100.0
9589.0,91.0,42.0,33.0,32.0,0.0,100.0
9630.0,50.0,32.0,33.0,32.0,0.0,100.0
9671.0,40.0,32.0,34.0,32.0,0.0,100.0
9711.0,39.0,31.0,33.0,32.0,0.0,100.0
9752.0,43.0,32.0,33.0,32.0,0.0,100.0
9792.0,47.0,32.0,33.0,32.0,0.0,100.0
9833.0,52.0,35.0,33.0,33.0,0.0,100.0
9874.0,36.0,48.0,34.0,33.0,100.0,0.0
9914.0,34.0,39.0,365.0,38.0,100.0,0.0
9956.0,34.0,33.0,58.0,214.0,100.0,0.0
9997.0,34.0,32.0,35.0,46.0,100.0,0.0
10038.0,34.0,32.0,33.0,33.0,100.0,0.0
10080.0,33.0,32.0,33.0,32.0,100.0,0.0
10121.0,33.0,32.0,32.0,32.0,100.0,0.0
10162.0,33.0,31.0,32.0,32.0,100.0,0.0
10204.0,33.0,31.0,33.0,32.0,100.0,0.0
